"CODIGO TEG+";"DESCRICAO TEG+";"USO (registros)";"ONDE";"ACAO";"CODIGO NOVO (RM)";"DESCRICAO NOVA";"CONFERIR";"OBS"
"CLS-01.01.01";"Receita de Serviços Prestados";"0";"";"DESATIVAR";"1.01.001";"FATURAMENTO LIQUIDO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.01.01";"Salários e Ordenados";"1";"fin_apont_cartao:1 (por descrição)";"REMAPEAR";"2.01.001";"SALARIOS/ORDENADOS";"";""
"CLS-02.01.02";"Prêmios e Gratificações";"9";"fin_cp:5, est_itens:1, cmp_requisicoes:1, cmp_req_itens:1, cmp_pedidos:1";"REMAPEAR";"2.05.003";"PRODUTIVIDADE";"SIM";""
"CLS-02.01.03";"Férias";"0";"";"DESATIVAR";"2.01.014";"FÉRIAS E 1/3 SOBRE FÉRIAS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.01.04";"13º Salário";"0";"";"DESATIVAR";"2.01.008";"13º SALÁRIO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.01.05";"Verbas Rescisórias";"0";"";"DESATIVAR";"2.01.010";"RESCISÕES";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.01.06";"Passagem Baixada";"0";"";"DESATIVAR";"2.03.022";"TRANSPORTES/TRANSLADO";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.01.07";"Contribuição Sindical";"0";"";"DESATIVAR";"2.03.029";"TAXAS E CONTRIBUIÇÕES";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.01.08";"Pensão Alimentícia";"0";"";"DESATIVAR";"2.01.017";"PENSÃO ALIMENTICIA";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.02.01";"INSS / IRRF / CRF - Fopag";"0";"";"DESATIVAR";"2.02.001";"INSS FOPAG -1138";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.02.02";"FGTS - Fopag";"0";"";"DESATIVAR";"2.02.008";"FGTS - FOPAG";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.02.03";"FGTS - Rescisório";"0";"";"DESATIVAR";"2.02.004";"GRRF - RESCISÃO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.02.04";"INSS / IRRF - PJ (Retenção)";"0";"";"DESATIVAR";"2.02.006";"INSS/IRRPF - PJ (RETENÇÃO)";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.03.01";"Convênios / Benefícios";"0";"";"DESATIVAR";"2.01.007";"CONVÊNIOS/BENEFICIOS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.03.02";"Vale Alimentação";"0";"";"DESATIVAR";"2.01.007";"CONVÊNIOS/BENEFICIOS";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.03.03";"Vale Transporte";"0";"";"DESATIVAR";"2.01.016";"VALE TRANSPORTE";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.03.04";"Ajuda de Custo / Reembolso Admissão";"0";"";"DESATIVAR";"2.01.009";"AJUDA DE CUSTO/REEMBOLSO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.03.05";"Assistência Médica";"0";"";"DESATIVAR";"2.01.007";"CONVÊNIOS/BENEFICIOS";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.03.06";"Plano de Saúde";"0";"";"DESATIVAR";"2.01.007";"CONVÊNIOS/BENEFICIOS";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.03.07";"Seguro Vida";"0";"";"DESATIVAR";"2.01.020";"SEGURO VIDA";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.04.01";"Aluguéis e Alojamentos";"17";"est_itens:17";"REMAPEAR";"2.01.003";"ALOJAMENTO";"SIM";""
"CLS-02.04.02";"Lanches / Refeições (Operacional)";"7";"est_itens:7";"REMAPEAR";"2.01.004";"LANCHES/REFEIÇÕES";"";""
"CLS-02.04.03";"Hospedagem / Translado";"0";"";"DESATIVAR";"2.01.015";"HOSPEDAGEM";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.05.01";"Material Aplicado";"61";"est_itens:50, cmp_req_itens:3, cmp_requisicoes:3, fin_cp:2, cmp_pedidos:2, fin_apont_cartao:1 (descrição)";"REMAPEAR";"2.03.003";"INSUMOS / MATERIAIS";"";""
"CLS-02.05.02";"Material Secundário Aplicado";"341";"est_itens:337, cmp_req_itens:2, cmp_requisicoes:2";"REMAPEAR";"2.03.003";"INSUMOS / MATERIAIS";"";""
"CLS-02.05.03";"Peças, Ferramentas e Acessórios";"244";"est_itens:242, cmp_requisicoes:2";"REMAPEAR";"2.08.036";"FERRAMENTAL";"SIM";""
"CLS-02.05.04";"Equipamentos de Proteção e Segurança (EPI/EPC)";"288";"est_itens:279, cmp_requisicoes:4, cmp_req_itens:2, fin_cp:2, cmp_pedidos:1";"REMAPEAR";"2.01.012";"EPI´S / EQUIPAMENTOS DE SEGURANÇA";"";""
"CLS-02.05.05";"Bens de Pequeno Valor (Operacional)";"0";"";"DESATIVAR";"2.08.035";"AQUISIÇÃO DE EQUIPAMENTOS";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.06.01";"Combustível e Lubrificantes (Operacional)";"2";"est_itens:2";"REMAPEAR";"2.03.014";"COMBUSTIVEL/LUBRIFICANTES";"";""
"CLS-02.06.02";"Locação de Veículos";"0";"";"DESATIVAR";"2.03.015";"LOCAÇÃO VEICULOS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.06.03";"Manutenção de Veículos (Operacional)";"20";"est_itens:20";"REMAPEAR";"2.03.017";"MANUTENÇÃO VEICULOS";"";""
"CLS-02.06.04";"Manutenção de Máquinas e Equipamentos";"428";"est_itens:402, cmp_req_itens:16, cmp_requisicoes:8, cmp_pedidos:1, fin_cp:1";"REMAPEAR";"2.03.018";"MANUTENÇÃO MAQ EQUIPAMENTOS";"";""
"CLS-02.06.05";"Transportes / Translados";"0";"";"DESATIVAR";"2.03.022";"TRANSPORTES/TRANSLADO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.06.06";"Despesas c/ Pedágio (Operacional)";"0";"";"DESATIVAR";"2.03.021";"PEDÁGIO";"";"Sem uso — desativa; equivalente RM informativo"
