restaurar;classificacao_auto;valor;vencimento;fornecedor;descricao;status;origem;criado;entity_id
;real;4543542,99;14/03/2026;Pagamento Extraordinário;dfgdgfd;conciliado;manual;14/03/2026;738c3653-4dcd-42d0-abdd-749963aef4d6
SIM;real;155555;13/04/2026;VORTEX TREINAMENTOS LTDA;Resma de papel A4 para escritorio;aprovado_pgto;compras;14/03/2026;8ade2a15-7ae6-4f06-b291-c7779858a9dd
SIM;real;45000;30/03/2026;EMPREITEIRA BRASIL;Obra civil - Parcela 1/6;aprovado_pgto;compras;16/03/2026;ec8ae9d8-95a5-4dd9-823a-3fc0b38cd597
SIM;real;30000;23/03/2026;VORTEX TREINAMENTOS LTDA;Consultoria - Parcela 1/10;aprovado_pgto;compras;14/03/2026;cd1226ed-5531-4341-9219-d773efb6cba7
SIM;real;30000;23/06/2026;VORTEX TREINAMENTOS LTDA;Consultoria - Parcela 4/10;previsto;compras;14/03/2026;f64262dc-0903-4d66-b2d1-8af0ff003b62
SIM;real;30000;23/07/2026;VORTEX TREINAMENTOS LTDA;Consultoria - Parcela 5/10;previsto;compras;14/03/2026;daf6da7c-3190-4d90-8173-908e9c29fd58
SIM;real;30000;23/08/2026;VORTEX TREINAMENTOS LTDA;Consultoria - Parcela 6/10;previsto;compras;14/03/2026;7e2c6dcf-e085-40ef-ad0d-1df061c68fc8
SIM;real;30000;23/09/2026;VORTEX TREINAMENTOS LTDA;Consultoria - Parcela 7/10;previsto;compras;14/03/2026;f7140940-3105-4396-8f09-3c3db8612e68
SIM;real;30000;23/10/2026;VORTEX TREINAMENTOS LTDA;Consultoria - Parcela 8/10;previsto;compras;14/03/2026;caeffac7-f8fd-437d-8785-274207c6af84
SIM;real;30000;23/11/2026;VORTEX TREINAMENTOS LTDA;Consultoria - Parcela 9/10;previsto;compras;14/03/2026;1d2db49f-7877-46cb-aded-b017b6d365b3
SIM;real;25000;02/04/2026;MERCEDES-BENZ DO BRASIL LTDA.;MERCEDEZ CAMINHAO ATEGO 2730 6X4;previsto;compras;23/03/2026;23891853-95f7-45cf-bbc5-36978d6f33ae
SIM;real;12000;01/04/2026;A GERADORA ALUGUEL DE MAQUINAS S.A.;LOCAÇÃO DE GERADORES - Parcela 1/10;previsto;compras;27/03/2026;aca5f272-6ed0-4f18-9115-39f984dd4909
SIM;real;12000;01/05/2026;A GERADORA ALUGUEL DE MAQUINAS S.A.;LOCAÇÃO DE GERADORES - Parcela 2/10;previsto;compras;27/03/2026;67cc36e2-38cd-4a29-8d16-5adeae027740
SIM;real;12000;01/07/2026;A GERADORA ALUGUEL DE MAQUINAS S.A.;LOCAÇÃO DE GERADORES - Parcela 4/10;previsto;compras;27/03/2026;d1ea9927-9817-428b-a947-c2695826d8b9
SIM;real;12000;01/10/2026;A GERADORA ALUGUEL DE MAQUINAS S.A.;LOCAÇÃO DE GERADORES - Parcela 7/10;previsto;compras;27/03/2026;f7208896-3a20-4a65-a771-87487af8d125
SIM;real;12000;01/12/2026;A GERADORA ALUGUEL DE MAQUINAS S.A.;LOCAÇÃO DE GERADORES - Parcela 9/10;previsto;compras;27/03/2026;ca834c38-3b9f-4efa-aaef-9d7bf143afb4
SIM;real;12000;01/01/2027;A GERADORA ALUGUEL DE MAQUINAS S.A.;LOCAÇÃO DE GERADORES - Parcela 10/10;previsto;compras;27/03/2026;97ef05f4-58c2-49c0-9a1f-7f0c832091ff
SIM;real;9999,98;23/03/2026;VORTEX TREINAMENTOS LTDA;Pagamento antecipado para garantir preço do serivço;em_lote;manual;23/03/2026;e4cfd56e-4613-4ea0-aaf9-e2a42d6bc7c8
SIM;real;8333,34;18/06/2026;CABR CABOS;CABO DE ATERRAMENTO COBRE - 90 dias;pago;compras;17/03/2026;4974905a-ed34-4907-a3a8-086fa2939adf
SIM;real;8333,33;19/04/2026;CABR CABOS;CABO DE ATERRAMENTO COBRE - 30 dias;pago;compras;17/03/2026;6b70cb28-9d28-4eb9-afa8-711fa4e8f210
SIM;real;8333,33;19/05/2026;CABR CABOS;CABO DE ATERRAMENTO COBRE - 60 dias;pago;compras;17/03/2026;ed2c2d52-05a8-438e-b972-27bf6a52767a
SIM;teste_suspeito;5160;02/07/2026;ALIANCA EQUIPAMENTOS;(sem descrição - PC-202606-00003);previsto;compras;02/06/2026;27c9ba21-2d9f-4db2-b5e0-f51273b6f97a
SIM;real;3200;24/03/2026;KABUM S.A.;Impressora - Revisar manualmente;em_pagamento;compras;18/03/2026;37318379-5316-4e41-8346-ddb65c1725ec
;real;2920;05/06/2026;LUX AUTO CENTER ARAXA LTDA;Pedido PC-202605-00001 - FIAT FIORINO RTA6F87;conciliado;compras;07/05/2026;99a91324-12dd-4b4d-a2f8-fed59a8f2e29
